task,strategy,trades,wr,pf,rr,dd,sharpe,calmar
T1_USD,YagamiA_4H,22,40.91,1.226,1.77,25.97,0.549,0.579
T1_USD,YagamiA_4H+USD,18,38.89,1.2184,1.91,25.98,0.514,0.492
T1_USD,YagamiB_4H,219,42.01,0.9448,1.3,58.46,-0.063,-0.389
T1_USD,YagamiB_4H+USD,170,44.71,1.0078,1.25,46.32,0.342,0.051
T1_USD,YagamiFull_1H,67,41.79,1.5762,2.2,40.16,1.545,2.394
T1_USD,YagamiFull_1H+USD,67,41.79,1.5763,2.2,40.16,1.545,2.394
T1_USD,MaedaiDC15_4H,15,46.67,1.5772,1.8,14.31,0.971,2.028
T1_USD,MaedaiDC15_4H+USD,15,46.67,1.5772,1.8,14.31,0.971,2.028
T1_USD,MaedaiUnion_4H,21,66.67,3.6245,1.81,9.82,2.817,13.709
T1_USD,MaedaiUnion_4H+USD,18,66.67,4.0253,2.01,10.52,2.686,10.681
T3_Maedai,DC10_EMA200,25,64.0,1.1961,0.67,8.76,0.442,0.587
T3_Maedai,DC15_EMA200,21,61.9,1.0363,0.64,8.76,0.127,0.101
T3_Maedai,DC20_EMA200,19,68.42,1.4318,0.66,8.76,0.734,0.961
T3_Maedai,DC30_EMA200,16,75.0,1.7309,0.58,3.01,1.06,3.558
T3_Maedai,DC40_EMA200,16,75.0,1.6277,0.54,3.01,0.941,3.045
T3_Maedai,DC15_EMA100,21,61.9,1.0363,0.64,8.76,0.127,0.101
T3_Maedai,DC20_EMA100,19,68.42,1.4318,0.66,8.76,0.734,0.961
T3_Maedai,DC30_EMA100,16,75.0,1.7309,0.58,3.01,1.06,3.558
T3_Maedai,Union,37,62.16,2.0611,1.25,12.68,1.859,4.153
T3_Maedai,MaedaiBest,3,66.67,1.3788,0.69,3.04,0.309,0.782
