type,label,name,port_sharpe,delta,improved,full_sharpe,is_sharpe,oos_sharpe,ratio,passed
single,F1,KUPP(上ヒゲ除去),6.830795741385079,-0.24635089167435797,2.0,,,,,
single,F2,KBODY(実体比率),6.137430854536328,-0.9397157785231087,3.0,,,,,
single,F3,EMA_SLOPE(傾き),7.948026454793549,0.8708798217341123,2.0,,,,,
single,F4,VOL_SURGE(出来高),4.968583597429287,-2.1085630356301497,1.0,,,,,
single,F5,RSI_ZONE(極端回避),6.117808624297636,-0.9593380087618009,1.0,,,,,
single,F6,ATR_REGIME(ボラ拡大),7.217435312393052,0.1402886793336151,2.0,,,,,
single,F7,PATTERN_Q(パターン品質),8.997087541838729,1.9199409087792922,2.0,,,,,
single,F8,WEEKLY_ALIGN(週足),5.337890708961892,-1.7392559240975451,0.0,,,,,
single,F9,EMA_CROSS(EMA20/50),7.347990826713157,0.27084419365372003,0.0,,,,,
single,F10,H1_MOM(1Hモメンタム),5.089586216078235,-1.9875604169812018,0.0,,,,,
combo,F3+F6,,8.106156256001205,1.0290096229417678,,,,,,
combo,F3+F7,,11.917076577424828,4.839929944365391,,,,,,
combo,F3+F9,,7.2295113840593554,0.15236475099991864,,,,,,
combo,F6+F7,,8.327042530824304,1.2498958977648673,,,,,,
combo,F6+F9,,6.646555780705489,-0.4305908523539479,,,,,,
combo,F7+F9,,8.840134408684701,1.7629877756252643,,,,,,
combo,F3+F6+F7,,9.462668688874476,2.3855220558150396,,,,,,
combo,F3+F6+F9,,6.550706352520061,-0.5264402805393757,,,,,,
combo,F3+F7+F9,,8.892146996491908,1.8150003634324712,,,,,,
combo,F6+F7+F9,,8.245384179493335,1.1682375464338985,,,,,,
combo,F3+F6+F7+F9,,8.193359786820837,1.1162131537614002,,,,,,
verified,F3+F7,,,,,11.917076577424828,9.831708402295085,10.049843211551998,1.02218686725961,True
verified,F3+F6+F7,,,,,9.462668688874476,9.780036063077171,7.52815515859675,0.7697471778266742,True
verified,F7,,,,,8.997087541838729,8.804390786485488,9.092381506682166,1.0327098975023616,True
verified,F3+F7+F9,,,,,8.892146996491908,10.316521779278563,6.727797427064007,0.6521381499506206,False
verified,F7+F9,,,,,8.840134408684701,9.526969424225861,6.917427730466897,0.7260890029600353,True
